# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
4.073898700000000099e+04,3.600000000000000000e+01,6.545700000000000000e+04,3.000000000000000000e+01,8.590000000000000000e+02,5.055000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073899399999999878e+04,6.700000000000000000e+01,6.539600000000000000e+04,4.200000000000000000e+01,8.590000000000000000e+02,5.052000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073900000000000000e+04,9.100000000000000000e+01,6.538400000000000000e+04,7.900000000000000000e+01,8.580000000000000000e+02,5.047000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073900699999999779e+04,1.090000000000000000e+02,6.540800000000000000e+04,7.300000000000000000e+01,8.570000000000000000e+02,5.043000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073901499999999942e+04,9.100000000000000000e+01,6.546900000000000000e+04,6.100000000000000000e+01,8.560000000000000000e+02,5.040000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073902199999999721e+04,3.000000000000000000e+01,6.546900000000000000e+04,3.000000000000000000e+01,8.550000000000000000e+02,5.035000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073902900000000227e+04,2.400000000000000000e+01,6.544500000000000000e+04,2.400000000000000000e+01,8.540000000000000000e+02,5.031000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073903600000000006e+04,1.200000000000000000e+01,6.546300000000000000e+04,1.800000000000000000e+01,8.530000000000000000e+02,5.027000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073904200000000128e+04,0.000000000000000000e+00,6.550000000000000000e+04,0.000000000000000000e+00,8.520000000000000000e+02,5.023000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073905200000000332e+04,6.551800000000000000e+04,5.400000000000000000e+01,6.551800000000000000e+04,8.510000000000000000e+02,5.019000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073905900000000111e+04,6.548200000000000000e+04,1.580000000000000000e+02,6.550600000000000000e+04,8.500000000000000000e+02,5.015000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073906500000000233e+04,6.552400000000000000e+04,1.220000000000000000e+02,6.551200000000000000e+04,8.490000000000000000e+02,5.011000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
