# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
3.459999999977299012e-01,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.880000000000000000e+02,6.495500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.529999999955180101e-01,1.200000000000000000e+01,3.600000000000000000e+01,6.551800000000000000e+04,1.890000000000000000e+02,6.494900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.609999999971478246e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.890000000000000000e+02,6.494300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.679999999949359335e-01,6.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,1.900000000000000000e+02,6.493600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.750000000000000000e-01,1.200000000000000000e+01,2.400000000000000000e+01,6.550600000000000000e+04,1.900000000000000000e+02,6.492800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.849999999947613105e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.551800000000000000e+04,1.910000000000000000e+02,6.491600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.940000000002328306e-01,6.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,1.910000000000000000e+02,6.491000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.009999999980209395e-01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.910000000000000000e+02,6.490300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.079999999958090484e-01,6.553000000000000000e+04,1.200000000000000000e+01,6.000000000000000000e+00,1.920000000000000000e+02,6.489700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.149999999935971573e-01,1.200000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,1.920000000000000000e+02,6.489000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.209999999948195182e-01,6.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.930000000000000000e+02,6.488200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.309999999968567863e-01,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.930000000000000000e+02,6.487400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.379999999946448952e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.552400000000000000e+04,1.930000000000000000e+02,6.486800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.439999999958672561e-01,6.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+01,1.940000000000000000e+02,6.486200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.529999999940628186e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,1.940000000000000000e+02,6.485600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.599999999991268851e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.552400000000000000e+04,1.940000000000000000e+02,6.485000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.649999999965075403e-01,6.000000000000000000e+00,1.200000000000000000e+01,6.553000000000000000e+04,1.950000000000000000e+02,6.484200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.729999999981373549e-01,6.553000000000000000e+04,6.000000000000000000e+00,2.400000000000000000e+01,1.950000000000000000e+02,6.483600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.799999999959254637e-01,0.000000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,1.960000000000000000e+02,6.483000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
