11:22:27.806,array('B', [0])
11:22:27.818,array('B', [0])
11:22:27.829,array('B', [0])
11:22:27.840,array('B', [0])
11:22:27.851,array('B', [0])
11:22:27.862,array('B', [0])
11:22:27.874,array('B', [0])
11:22:27.885,array('B', [0])
11:22:28.062,array('B', [0])
11:22:28.074,array('B', [0])
11:22:28.085,array('B', [0])
11:22:28.096,array('B', [0])
11:22:28.107,array('B', [0])
11:22:28.119,array('B', [0])
11:22:28.130,array('B', [0])
11:22:28.141,array('B', [0])
11:22:28.153,array('B', [0])
11:22:28.163,array('B', [0])
11:22:28.174,array('B', [0])
11:22:28.185,array('B', [0])
11:22:28.197,array('B', [0])
11:22:28.208,array('B', [0])
11:22:28.220,array('B', [0])
11:22:28.232,array('B', [0])
11:22:28.243,array('B', [0])
11:22:28.420,array('B', [0])
11:22:28.431,array('B', [0])
11:22:28.443,array('B', [0])
11:22:28.454,array('B', [0])
11:22:28.458,array('B', [1, 239, 92, 253, 128, 193, 88, 11, 242, 9, 227, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:28.469,array('B', [0])
11:22:28.480,array('B', [0])
11:22:28.491,array('B', [0])
11:22:28.502,array('B', [0])
11:22:28.513,array('B', [0])
11:22:28.524,array('B', [0])
11:22:28.535,array('B', [0])
11:22:28.546,array('B', [0])
11:22:28.557,array('B', [0])
11:22:28.569,array('B', [0])
11:22:28.580,array('B', [0])
11:22:28.591,array('B', [0])
11:22:28.772,array('B', [0])
11:22:28.783,array('B', [0])
11:22:28.795,array('B', [0])
11:22:28.805,array('B', [0])
11:22:28.817,array('B', [0])
11:22:28.828,array('B', [0])
11:22:28.839,array('B', [0])
11:22:28.850,array('B', [0])
11:22:28.861,array('B', [0])
11:22:28.873,array('B', [0])
11:22:28.884,array('B', [0])
11:22:28.895,array('B', [0])
11:22:28.906,array('B', [0])
11:22:28.917,array('B', [0])
11:22:28.929,array('B', [0])
11:22:28.940,array('B', [0])
11:22:28.950,array('B', [0])
11:22:28.962,array('B', [0])
11:22:29.136,array('B', [0])
11:22:29.147,array('B', [0])
11:22:29.158,array('B', [0])
11:22:29.169,array('B', [0])
11:22:29.180,array('B', [0])
11:22:29.191,array('B', [0])
11:22:29.202,array('B', [0])
11:22:29.214,array('B', [0])
11:22:29.226,array('B', [0])
11:22:29.237,array('B', [0])
11:22:29.247,array('B', [0])
11:22:29.258,array('B', [0])
11:22:29.270,array('B', [0])
11:22:29.281,array('B', [0])
11:22:29.292,array('B', [0])
11:22:29.303,array('B', [0])
11:22:29.314,array('B', [0])
11:22:29.487,array('B', [0])
11:22:29.498,array('B', [0])
11:22:29.509,array('B', [0])
11:22:29.520,array('B', [0])
11:22:29.531,array('B', [0])
11:22:29.543,array('B', [0])
11:22:29.554,array('B', [0])
11:22:29.565,array('B', [0])
11:22:29.577,array('B', [0])
11:22:29.588,array('B', [0])
11:22:29.599,array('B', [0])
11:22:29.611,array('B', [0])
11:22:29.622,array('B', [0])
11:22:29.633,array('B', [0])
11:22:29.645,array('B', [0])
11:22:29.656,array('B', [0])
11:22:29.667,array('B', [0])
11:22:29.679,array('B', [0])
11:22:29.690,array('B', [0])
11:22:29.701,array('B', [0])
11:22:29.879,array('B', [0])
11:22:29.890,array('B', [0])
11:22:29.901,array('B', [0])
11:22:29.912,array('B', [0])
11:22:29.923,array('B', [0])
11:22:29.934,array('B', [0])
11:22:29.945,array('B', [0])
11:22:29.956,array('B', [0])
11:22:29.967,array('B', [0])
11:22:29.978,array('B', [0])
11:22:29.989,array('B', [0])
11:22:30.000,array('B', [0])
11:22:30.011,array('B', [0])
11:22:30.022,array('B', [0])
11:22:30.034,array('B', [0])
11:22:30.045,array('B', [0])
11:22:30.056,array('B', [0])
11:22:30.227,array('B', [0])
11:22:30.238,array('B', [0])
11:22:30.249,array('B', [0])
11:22:30.260,array('B', [0])
11:22:30.272,array('B', [0])
11:22:30.283,array('B', [0])
11:22:30.294,array('B', [0])
11:22:30.305,array('B', [0])
11:22:30.316,array('B', [0])
11:22:30.328,array('B', [0])
11:22:30.339,array('B', [0])
11:22:30.350,array('B', [0])
11:22:30.361,array('B', [0])
11:22:30.372,array('B', [0])
11:22:30.383,array('B', [0])
11:22:30.395,array('B', [0])
11:22:30.404,array('B', [33, 231, 175, 250, 243, 164, 139, 5, 22, 248, 233, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:30.415,array('B', [0])
11:22:30.426,array('B', [0])
11:22:30.598,array('B', [0])
11:22:30.609,array('B', [0])
11:22:30.621,array('B', [0])
11:22:30.632,array('B', [0])
11:22:30.643,array('B', [0])
11:22:30.654,array('B', [0])
11:22:30.665,array('B', [0])
11:22:30.677,array('B', [0])
11:22:30.688,array('B', [0])
11:22:30.699,array('B', [0])
11:22:30.711,array('B', [0])
11:22:30.722,array('B', [0])
11:22:30.733,array('B', [0])
11:22:30.744,array('B', [0])
11:22:30.754,array('B', [0])
11:22:30.765,array('B', [0])
11:22:30.777,array('B', [0])
11:22:30.788,array('B', [0])
11:22:30.799,array('B', [0])
11:22:30.974,array('B', [0])
11:22:30.986,array('B', [0])
11:22:30.998,array('B', [0])
11:22:31.008,array('B', [0])
11:22:31.020,array('B', [0])
11:22:31.032,array('B', [0])
11:22:31.043,array('B', [0])
11:22:31.054,array('B', [0])
11:22:31.065,array('B', [0])
11:22:31.076,array('B', [0])
11:22:31.087,array('B', [0])
11:22:31.098,array('B', [0])
11:22:31.109,array('B', [0])
11:22:31.120,array('B', [0])
11:22:31.131,array('B', [0])
11:22:31.142,array('B', [0])
11:22:31.152,array('B', [0])
11:22:31.163,array('B', [0])
11:22:31.174,array('B', [0])
11:22:31.186,array('B', [0])
11:22:31.197,array('B', [0])
11:22:31.373,array('B', [0])
11:22:31.384,array('B', [0])
11:22:31.396,array('B', [0])
11:22:31.406,array('B', [0])
11:22:31.418,array('B', [0])
11:22:31.429,array('B', [0])
11:22:31.440,array('B', [0])
11:22:31.451,array('B', [0])
11:22:31.462,array('B', [0])
11:22:31.473,array('B', [0])
11:22:31.484,array('B', [0])
11:22:31.496,array('B', [0])
11:22:31.507,array('B', [0])
11:22:31.518,array('B', [0])
11:22:31.529,array('B', [0])
11:22:31.541,array('B', [0])
11:22:31.552,array('B', [0])
11:22:31.563,array('B', [0])
11:22:31.574,array('B', [0])
11:22:31.585,array('B', [0])
11:22:31.596,array('B', [0])
11:22:31.775,array('B', [0])
11:22:31.787,array('B', [0])
11:22:31.798,array('B', [0])
11:22:31.809,array('B', [0])
11:22:31.820,array('B', [0])
11:22:31.831,array('B', [0])
11:22:31.842,array('B', [0])
11:22:31.854,array('B', [0])
