16:31:05.730,array('B', [0])
16:31:05.749,array('B', [0])
16:31:05.760,array('B', [0])
16:31:05.790,array('B', [0])
16:31:05.801,array('B', [0])
16:31:05.819,array('B', [0])
16:31:05.830,array('B', [0])
16:31:05.842,array('B', [0])
16:31:05.853,array('B', [0])
16:31:05.882,array('B', [0])
16:31:05.893,array('B', [0])
16:31:05.912,array('B', [0])
16:31:05.924,array('B', [0])
16:31:05.940,array('B', [0])
16:31:05.951,array('B', [0])
16:31:05.973,array('B', [0])
16:31:05.984,array('B', [0])
16:31:05.995,array('B', [0])
16:31:06.006,array('B', [0])
16:31:06.034,array('B', [0])
16:31:06.046,array('B', [0])
16:31:06.056,array('B', [0])
16:31:06.068,array('B', [0])
16:31:06.087,array('B', [0])
16:31:06.099,array('B', [0])
16:31:06.117,array('B', [0])
16:31:06.128,array('B', [0])
16:31:06.148,array('B', [0])
16:31:06.159,array('B', [0])
16:31:06.179,array('B', [0])
16:31:06.190,array('B', [0])
16:31:06.201,array('B', [0])
16:31:06.211,array('B', [0])
16:31:06.222,array('B', [0])
16:31:06.241,array('B', [0])
16:31:06.251,array('B', [0])
16:31:06.262,array('B', [0])
16:31:06.278,array('B', [0])
16:31:06.289,array('B', [0])
16:31:06.311,array('B', [0])
16:31:06.321,array('B', [0])
16:31:06.341,array('B', [0])
16:31:06.352,array('B', [0])
16:31:06.364,array('B', [0])
16:31:06.376,array('B', [0])
16:31:06.399,array('B', [0])
16:31:06.410,array('B', [0])
16:31:06.424,array('B', [0])
16:31:06.435,array('B', [0])
16:31:06.461,array('B', [0])
16:31:06.472,array('B', [0])
16:31:06.493,array('B', [0])
16:31:06.505,array('B', [0])
16:31:06.522,array('B', [0])
16:31:06.532,array('B', [0])
16:31:06.554,array('B', [0])
16:31:06.565,array('B', [0])
16:31:06.583,array('B', [0])
16:31:06.594,array('B', [0])
16:31:06.616,array('B', [0])
16:31:06.627,array('B', [0])
16:31:06.638,array('B', [0])
16:31:06.649,array('B', [0])
16:31:06.669,array('B', [0])
16:31:06.680,array('B', [0])
16:31:06.700,array('B', [0])
16:31:06.712,array('B', [0])
16:31:06.738,array('B', [0])
16:31:06.750,array('B', [0])
16:31:06.761,array('B', [0])
16:31:06.773,array('B', [0])
16:31:06.800,array('B', [0])
16:31:06.811,array('B', [0])
16:31:06.822,array('B', [0])
16:31:06.834,array('B', [0])
16:31:06.861,array('B', [0])
16:31:06.872,array('B', [0])
16:31:06.888,array('B', [0])
16:31:06.899,array('B', [0])
16:31:06.921,array('B', [0])
16:31:06.932,array('B', [0])
16:31:06.951,array('B', [0])
16:31:06.962,array('B', [0])
16:31:06.982,array('B', [0])
16:31:06.993,array('B', [0])
16:31:07.009,array('B', [0])
16:31:07.020,array('B', [0])
16:31:07.034,array('B', [0])
16:31:07.045,array('B', [0])
16:31:07.074,array('B', [0])
16:31:07.085,array('B', [0])
16:31:07.096,array('B', [0])
16:31:07.106,array('B', [0])
16:31:07.126,array('B', [0])
16:31:07.137,array('B', [0])
16:31:07.166,array('B', [0])
16:31:07.177,array('B', [0])
16:31:07.189,array('B', [0])
16:31:07.200,array('B', [0])
